2
/Backgrounds/Ambience
ButterflySwarm1 40x646
Glow_317 84x126
Gore_1047 28x34
Item_2854 26x30
Item_4425 28x18
Item_93 24x24
Acc_Waist_6 40x1120
Player_HairAlt_213 40x784
Projectile_305 1x1
Wall_192 468x180
Wall_279 468x180
Armor_Head_257 40x1120
Projectile_991 30x30
Buff_286 32x32
Item_3897 32x18
Wall_359 468x252
Flame 22x22
Item_4050 16x16
Item_4520 24x24
NPC_278 46x870
Item_3245 28x30
Item_273 50x54
Item_4189 28x34
NPC_288 28x102
Armor_Head_85 40x1118
Acc_Shoes_13 40x1120
Gore_140 46x52
Item_2858 34x30
Item_1885 24x24
Item_3 16x16
Item_863 32x28
Projectile_659 20x120
Tiles_728 234x90
Background_54 1024x533
Gore_649 14x20
Gore_738 16x12
Gore_561 24x12
Item_5030 32x22
Item_2133 14x30
Item_5905 32x28
Item_4812 26x42
Gore_272 40x28
Item_4588 30x22
NPC_668 1090x1200
Item_1402 16x38
Projectile_246 10x40
Buff_259 32x32
Projectile_843 80x60
Tiles_377 108x152
Tiles_541 234x180
Glow_155 102x560
Background_328 1024x760
Glow_49 42x440
Item_3926 34x26
Item_351 18x18
Glow_182 86x248
Gore_621 32x38
Item_4791 14x40
Gore_277 8x18
Map_6 32x30
NPC_260 46x92
Extra_213 58x320
Extra_91 34x90
Item_4280 24x24
Item_5075 26x26
Item_1545 30x30
Buff_215 32x32
Item_5542 22x30
Item_2400 38x24
NPC_61 78x360
Player_HairAlt_11 40x784
Item_1322 28x28
Item_5872 24x16
Item_5972 16x26
Projectile_279 2x20
Tiles_390 18x252
Tiles_661 288x396
Item_4554 16x18
Background_326 2048x1092
Item_2292 48x48
NPC_Head_4 18x26
Player_Hair_49 40x784
Projectile_436 26x56
Tiles_218 54x72
Buff_355 32x32
Item_3986 34x34
Armor_Head_134 40x1120
Glow_363 40x1120
Item_5879 36x16
Projectile_288 10x16
Item_4311 24x14
Tiles_127 234x90
Item_237 24x24
Item_4727 20x30
Item_880 16x16
Item_5806 16x28
NPC_567 48x468
Projectile_264 2x40
Item_4598 30x22
Gore_1336 20x8
Item_2270 54x22
Item_5521 24x24
Item_3105 28x28
NPC_440 46x1024
Background_30 1024x346
Gore_680 12x20
Item_3129 18x32
Tiles_565 72x180
Item_2408 38x24
Item_5629 36x36
Wall_308 468x180
Gore_359 30x34
Item_2844 24x30
Item_3079 30x20
Item_2368 30x20
ItemFlame_430 14x16
Projectile_708 92x96
Item_4173 28x32
Projectile_361 30x30
Extra_237 512x512
Buff_335 32x32
Gore_1213 14x20
Item_528 16x20
Item_5546 24x24
Item_950 30x26
ItemFlame_4386 14x16
Glow_180 26x54
Item_1767 20x16
Item_4411 32x72
Gore_1028 14x16
Item_4649 32x32
Item_4343 30x20
Map_2 32x30
Armor_Legs_89 40x1120
Player_HairAlt_82 40x784
Glow_197 56x52
Chain21 16x16
Item_494 28x38
Armor_Head_46 40x1120
Background_122 160x96
Item_1147 16x16
Item_1888 24x24
Item_2683 24x24
Item_4733 32x32
Item_4982 30x24
Extra_96 72x256
Item_3741 16x32
Item_5178 16x28
Item_5350 20x12
Item_6107 16x34
Gore_214 24x20
Item_706 30x24
Item_1982 18x32
Item_2722 24x34
Item_2932 12x28
Item_988 14x32
Gore_53 16x20
Item_1867 20x26
NPC_399 42x640
Chain3 10x12
Player_HairAlt_212 40x784
Glow_244 28x32
Projectile_588 14x20
Player_HairAlt_42 40x784
Item_164 42x30
Background_19 606x465
Item_1843 22x14
Item_2545 30x26
Gore_980 24x30
Item_2728 24x34
Item_837 18x32
MapBG31 115x65
NPC_446 18x24
Glow_150 52x910
NPC_Head_75 28x26
Projectile_634 36x144
Item_1576 28x28
Projectile_500 36x144
Acc_HandsOn_12 40x1120
Armor_Head_23 40x1118
Buff_309 32x32
Gore_1344 12x22
Armor_Head_271 40x1120
Item_522 14x16
Armor_Head_52 40x1120
Projectile_586 24x80
Item_3781 32x32
Item_381 30x24
Projectile_250 14x32
Item_4922 22x36
Item_172 16x16
Projectile_892 56x276
Tiles_177 288x270
Buff_48 32x32
Item_2026 22x32
NPC_453_Alt_1 44x1456
NPC_Head_61 18x20
NPC_Head_Boss_39 50x48
Tiles_708 234x720
Extra_60 132x152
Wall_331 468x180
Item_5172 36x24
Tiles_151 288x270
Item_5683 26x26
Tiles_357 234x180
Extra_164 14x168
Item_1185 50x60
Item_2012 24x24
Background_314 1024x600
Buff_20 32x32
Gore_187 42x26
Item_1792 16x32
Player_Hair_99 40x784
Tiles_123 288x270
Tiles_32 234x90
Tiles_61 414x22
NPC_530 64x230
Projectile_847 22x140
Projectile_423 38x128
Chain7 10x10
Wall_41 468x180
Chain33 6x12
NPC_122 48x462
Tree_Branches_24 84x126
NPC_228 50x1456
Projectile_864 18x64
Armor_Legs_142 40x1120
Gore_693 20x24
Armor_Head_241 40x1120
Background_222 1024x533
Glow_74 32x28
Item_2890 28x26
Item_4508 24x24
Item_5618 30x24
Item_5843 18x26
Item_803 22x24
Item_370 16x16
Item_1865 32x34
Projectile_181 10x48
Projectile_917 46x46
Item_1355 22x32
Tree_Tops_5 246x82
Wall_260 468x180
Wings_26 86x248
Background_332 1024x720
Gore_655 16x20
Acc_Waist_8 40x1120
Armor_Legs_207 40x1120
Background_142 160x48
Gore_50 12x16
Item_3253 16x32
Item_2440 32x28
Gore_1319 10x16
Extra_230 92x1176
Item_3231 32x32
Item_4622 18x102
Gore_1357 14x16
Item_2199 20x24
Item_374 30x20
Armor_Head_223 40x1120
Gore_447 26x26
Item_2482 34x34
Item_2846 28x30
Gore_178 22x16
Item_4092 30x22
NPC_373 120x296
Gore_352 20x26
Inventory_Back5 52x52
Background_58 1024x533
Armor_Head_276 40x1120
Glow_68 70x34
Extra_129 150x528
Gore_1349 18x14
Item_1648 12x28
Item_182 18x18
Item_1895 34x28
Item_4699 14x32
Item_4231 16x16
Background_118 160x96
Item_5512 34x32
Item_3547 10x32
Extra_285 14x12
Item_4609 32x30
Item_827 30x22
Armor_Head_30 40x1120
NPC_49 44x160
NPC_646 48x280
NPC_677 88x110
Armor_Head_256 40x1120
Item_5159 14x30
Item_72 12x14
NPC_Head_Boss_30 26x30
Player_10_5 360x224
Player_HairAlt_87 40x784
Projectile_32 20x16
Glow_234 28x58
Projectile_67 14x14
Projectile_960 46x960
Item_6077 36x24
Item_3516 16x32
Item_307 22x18
Extra_227 48x34
Tiles_143 36x36
Tiles_79 288x2016
Projectile_1076 56x56
Item_888 32x28
Player_Hair_127 40x784
Projectile_814 72x72
Armor_Legs_66 40x1120
Item_773 20x14
Gore_524 42x32
Tiles_287 36x36
Wall_42 468x180
Item_2163 34x32
Buff_37 32x32
Extra_37 28x44
NPC_225 48x120
Gore_1134 10x12
Acc_Back_23 40x1118
Tiles_507 234x720
Glow_194 34x32
Item_1493 48x32
Item_1881 34x26
Item_4130 22x8
Wall_193 468x180
Waterfall_9 512x40
Armor_Head_266 40x1118
Background_209 1024x600
Item_5338 26x32
Item_4124 16x26
Item_4713 32x32
Item_6074 30x34
Player_HairAlt_156 40x784
Projectile_480 14x28
Buff_17 32x32
Projectile_641 60x60
NPC_342 36x144
ColorBlip 2x8
Item_4903 22x32
Extra_0 34x220
Item_3840 12x28
Tiles_26 108x38
Item_2887 22x26
Item_4036 30x60
Item_5364 30x28
Item_5718 16x34
Item_6002 16x16
Item_823 30x28
Item_6083 38x26
Player_HairAlt_155 40x784
Buff_189 32x32
Item_385 50x18
Gore_539 28x46
Projectile_598 22x70
Tiles_275 108x1188
Wall_337 468x180
Item_111 28x20
Tiles_184 242x216
Wings_8 86x248
Tiles_739 324x360
Gore_374 30x26
Item_4930 38x50
NPC_209_Alt_1 40x1456
Gore_628 14x16
Gore_483 68x58
Item_3118 30x30
Gore_1141 10x12
Gore_593 8x14
Item_610 24x24
NPC_553 66x672
Item_5432 24x24
Gore_1372 14x52
Extra_57 54x54
Cloud_14 214x72
Item_1725 16x16
NPC_402 20x18
NPC_443 48x280
Item_1532 32x32
Item_5413 24x24
Item_5387 22x20
Item_5925 24x24
NPC_548 58x44
Player_0_7 360x224
Tiles_699 72x72
Item_4560 32x32
Item_711 30x28
Gore_401 68x84
Buff_13 32x32
Item_3010 14x28
Item_5063 22x18
Gore_530 18x24
NPC_232 44x114
NPC_283 40x168
Item_1320 36x36
Glow_61 36x22
Extra_10 32x32
Item_2906 12x28
Gore_1290 16x16
Item_3130 24x34
Item_3397 12x28
Gore_1397 16x18
Item_3828 22x18
Item_4804 24x24
Item_4826 22x26
NPC_472 52x252
Item_4902 22x32
Gore_874 14x16
Item_3035 28x20
Item_4515 24x24
Player_HairAlt_126 40x784
Item_843 30x20
Gore_785 28x34
Gore_1069 22x22
Item_4717 16x18
Projectile_11 64x64
Tiles_238 34x144
Tiles_368 288x270
Tiles_596 172x264
Wings_16 86x248
Gore_1245 16x16
Gore_122 24x14
Armor_Legs_17 40x1120
Glow_296 36x468
Gore_296 22x18
Gore_508 76x76
Item_1898 34x28
Item_5450 24x24
Player_4_9 360x224
Projectile_647 20x22
Item_1572 38x38
NPC_Head_17 20x20
Player_HairAlt_203 40x784
Projectile_726 22x24
Item_1441 26x26
Chain41 8x10
Item_184 18x18
Buff_287 32x32
Item_2917 12x28
Player_6_4 360x224
Projectile_767 272x68
Item_3153 30x22
Gore_398 94x102
Item_3906 24x16
Projectile_1078 16x54
Item_3775 22x18
Item_4304 16x18
NPC_117 18x30
Background_248 1024x500
Tiles_24 414x22
Projectile_231 18x18
Tiles_550 108x1782
Gore_384 40x28
Tiles_577 234x90
Glow_124 54x36
Background_101 1024x600
Extra_58 156x96
Glow_161 52x416
Buff_3 32x32
Item_1449 48x32
Item_1758 32x22
Gore_692 32x34
Item_3865 26x24
Item_4801 26x40
Glow_253 240x1900
Item_4831 32x30
Gore_111 30x40
Buff_300 32x32
Item_1002 26x24
Item_1505 26x18
Item_829 32x22
JackHat 40x1120
Cloud_29 78x68
Buff_383 32x32
Item_3385 32x32
Item_3544 20x30
MapBG28 115x65
Gore_467 24x24
ItemFlame_4387 14x16
Acc_Neck_2 40x1120
Item_5202 16x34
Gore_689 58x38
NPC_229 40x1456
Item_474 24x30
NPC_353 40x1288
Tiles_229 288x270
Tiles_655 234x90
Tree_Tops_26 354x98
Item_4531 24x24
Projectile_505 14x14
Item_2967 12x28
Item_820 18x32
Gore_116 36x24
Item_3496 36x36
Item_3724 32x18
Gore_366 40x26
Item_4619 14x102
Background_150 160x48
Item_5847 16x28
Item_6134 16x16
Projectile_208 42x220
Glow_320 30x30
Gore_235 36x28
Gore_172 16x14
Item_5509 30x28
NPC_Head_Boss_22 30x30
Item_1847 50x32
NPC_202 40x840
Item_4907 22x30
Item_5091 36x30
Item_4054 20x32
Item_4790 46x46
Item_2686 24x24
Item_224 32x22
Item_3510 16x32
Item_5025 30x22
Item_2613 32x28
Item_5236 50x34
Item_5243 50x34
Item_2428 26x34
Item_5362 28x32
Item_1234 60x60
Item_972 16x32
Chain14 24x28
Item_583 16x16
Gore_1322 20x14
Armor_Legs_134 40x1120
Gore_1244 16x24
Item_3736 16x16
Item_1988 20x14
Item_6026 16x34
Item_666 26x22
LiquidSlope_0 72x16
Liquid_5 306x16
Item_5076 14x36
Chains_1 16x28
Item_923 16x32
Glow_248 40x1120
Armor_Legs_168 40x1120
Background_294 192x16
Extra_204 70x576
Glow_157 44x60
Glow_319 30x30
Player_HairAlt_54 40x784
Extra_193 256x256
Glow_152 48x396
Gore_953 26x22
Gore_587 22x40
Item_1030 16x24
Item_1574 30x32
Item_5798 34x18
Player_Hair_83 40x784
Projectile_267 14x28
Projectile_311 10x12
NPC_450 42x1064
Item_3417 12x28
NPC_234 46x126
Projectile_354 14x14
Projectile_357 1x1
Item_4461 34x32
Player_Hair_131 40x784
Gore_33 28x28
Extra_277 360x224
Item_3194 20x16
Projectile_421 8x8
Item_1356 22x28
Projectile_337 14x180
Projectile_467 54x208
Item_712 30x28
Player_Hair_146 40x784
Item_2316 26x26
Projectile_936 24x24
Item_1488 48x32
Extra_203 10x12
Tiles_119 288x270
Tiles_321 288x270
Item_1239 24x32
Projectile_786 20x20
Tiles_402 288x270
Tiles_676 234x180
Gore_1288 28x30
Tiles_714 36x38
Gore_1075 40x38
Item_1198 30x24
Item_4833 32x30
Tiles_88 1996x72
Gore_897 24x16
Item_3717 24x40
Projectile_182 34x30
Tiles_28 108x1332
Extra_218 512x512
Buff_44 32x32
MapBG18 115x65
Tiles_44 288x270
Item_552 22x16
Wall_101 468x180
Buff_74 32x32
Item_3175 16x20
Gore_1368 18x18
Item_1092 22x20
Item_4486 24x24
Item_4777 22x32
Armor_Legs_85 40x1120
Item_3558 16x24
Item_3081 16x16
Extra_77 40x1120
Item_4312 32x28
Item_5812 24x14
Armor_Head_189 40x1120
Item_6003 16x34
Armor_Head_192 40x1120
Gore_335 26x18
Item_6094 16x18
Item_6139 22x18
Item_1536 16x28
Armor_Legs_92 40x1120
Extra_198 50x1400
Item_1486 48x32
Item_775 16x16
Item_3904 24x16
Item_782 12x14
Logo4 486x142
Item_2859 34x30
Armor_Head_9 40x1120
Item_4025 32x54
Gore_1002 88x38
Item_5206 30x24
NPC_164 70x150
Gore_107 24x18
Item_4732 18x16
Item_3166 30x34
Item_4927 32x50
NPC_339 46x720
NPC_594 256x76
Player_HairAlt_31 40x784
Projectile_19 18x32
Projectile_831 12x72
Reforge 40x26
Item_1996 26x26
Tiles_95 68x34
Gore_760 16x16
Item_2153 12x16
Gore_1309 22x10
Waterfall_22 144x18
Player_Hair_228 40x784
Buff_18 32x32
Buff_21 32x32
Glow_195 24x216
Projectile_376 16x16
Item_1603 30x26
Gore_325 24x12
Item_2058 28x28
Item_689 22x18
Gore_264 14x18
Gore_418 32x32
NPC_Head_20 30x30
Glow_63 34x36
NPC_656 46x1080
Armor_Legs_113 40x1120
Item_1299 32x28
Gore_1011 18x20
Armor_Head_43 40x1120
Item_291 12x30
Item_590 32x32
Tiles_106 54x108
Item_2712 24x34
Tiles_29 36x18
Armor_Head_36 40x1120
Item_2049 12x20
Tiles_349 252x108
Gore_1136 10x10
Item_1165 32x32
Item_4725 50x34
Item_5103 22x18
Item_5680 24x20
Mount_ScutlixEyes 90x648
Item_5263 30x20
Item_5066 32x32
Gore_11 34x36
Projectile_342 116x116
Tree_Tops_17 246x82
Item_6011 30x22
Projectile_1024 18x144
Item_5249 20x30
Item_1664 12x28
Item_2126 30x22
Wall_214 468x180
Item_4672 38x34
Projectile_990 30x30
Item_1070 16x24
Item_2654 30x32
ItemFlame_3045 14x16
Item_5200 20x32
Projectile_197 42x48
Item_3215 28x24
Item_1709 20x32
Wall_263 468x180
Extra_106 112x1112
Item_180 18x14
NPC_550 46x1350
Item_1883 34x26
Item_4065 32x18
Item_461 24x34
Projectile_935 14x32
Tiles_414 108x972
Acc_Back_15 40x1120
Buff_193 32x32
Item_435 56x24
Tiles_113 144x34
Item_5181 14x32
Projectile_241 14x14
Item_4217 20x30
Item_1841 22x22
Player_11_9 360x224
Gore_910 384x112
Item_2447 32x32
Player_Hair_57 40x784
Item_5907 18x32
NPC_386 32x506
Tiles_604 108x1188
Gore_64 22x28
Item_1497 30x30
Item_4716 22x24
Item_4640 16x18
Player_0_12 40x1120
Tiles_444 36x36
Wall_252 468x180
Inventory_Back13 52x52
Item_4085 14x34
Item_1472 36x24
Extra_167 64x592
Player_HairAlt_102 40x784
Gore_1314 26x28
Gore_1127 12x12
Item_358 16x28
Tiles_351 234x270
Item_3244 22x18
Gore_363 32x28
Armor_Legs_183 40x1120
Item_1629 12x28
Item_3274 16x16
Item_5848 36x24
Item_899 30x32
Wall_49 468x180
Item_3020 26x32
Wings_41 104x248
Item_178 14x18
Item_1677 12x28
Background_171 1024x523
NPC_254 42x138
Projectile_392 28x352
Armor_Head_182 40x1120
Item_1279 30x20
Item_3875 34x24
Projectile_931 36x36
Item_5295 58x62
Gore_522 22x22
Background_269 1024x713
Background_37 1024x346
Item_3399 12x28
Player_Hair_45 40x784
Wall_73 468x180
Item_5165 28x24
Item_2885 16x24
Item_5913 32x30
NPC_571 108x1120
Item_4786 30x34
Glow_60 54x70
Projectile_511 32x32
Item_1376 28x32
Tiles_452 108x810
Item_1028 16x24
Item_2648 16x20
LiquidSlope_8 72x16
Tiles_549 234x18
Item_4151 16x30
Armor_Head_265 20x60
Glow_303 40x1120
Item_268 22x22
Glow_2 22x56
Item_4518 24x24
NPC_270 46x842
Item_3031 30x28
Armor_Legs_221 40x1118
NPC_669 26x160
NPC_696 384x1242
Projectile_213 22x46
Item_4838 28x28
Tiles_534 288x396
Item_2925 12x28
Item_788 46x42
Item_2187 34x32
Player_Hair_66 40x784
Projectile_1 14x32
Item_3833 34x34
Gore_977 16x20
Item_2427 30x54
Gore_16 22x24
Item_2627 24x16
Acc_Waist_11 40x1120
Glow_256 40x1118
Item_10 34x30
Item_978 22x24
Item_607 16x16
Projectile_1060 48x48
Item_296 20x30
Gore_816 36x36
Projectile_280 10x16
Item_644 32x26
Projectile_685 42x42
Projectile_716 48x28
Projectile_401 12x14
Tiles_220 54x216
Buff_299 32x32
Item_669 30x30
Armor_Legs_217 40x1120
Wings_29 86x248
NPC_73 40x896
Item_2203 26x26
Gore_610 58x54
Background_113 1024x550
Armor_Head_89 40x1118
Item_3154 34x28
Item_3396 12x28
NPC_436 88x476
Item_2030 24x32
Glow_184 40x1120
Item_482 60x60
Gore_1085 66x78
Item_415 16x16
Projectile_327 12x14
Projectile_70 26x26
Gore_1132 12x12
Trash 32x32
Item_896 22x18
NPC_153 72x384
Gore_881 14x16
NPC_160 32x1380
Item_3348 24x24
Buff_186 32x32
Item_4639 20x30
Player_4_5 360x224
Gore_1317 28x30
Player_Hair_202 40x784
Item_5607 14x20
Item_3026 16x24
Item_6046 24x32
Background_213 1024x533
Player_1_6 360x224
Projectile_983 170x680
Item_5678 16x16
NPC_94 64x282
Player_Hair_125 40x784
Waterfall_3 512x40
Item_2379 30x22
Item_3952 24x24
Item_6123 16x28
NPC_89 76x156
Player_HairAlt_158 40x784
Item_3421 12x28
NPC_116 110x300
Gore_1341 16x18
Player_HairAlt_167 40x784
Item_996 28x24
NPC_24 54x560
Gore_1142 10x10
Item_1282 30x28
Item_5616 28x30
Gore_170 12x16
Item_889 26x30
Item_2443 32x32
Item_5142 30x30
Background_11 1024x480
Projectile_967 26x208
Item_2607 14x30
Item_5503 30x22
Item_4293 22x78
Item_508 28x38
Item_207 24x22
Item_5145 30x30
Item_1050 16x24
Background_170 1024x660
Item_5419 16x16
Armor_Head_226 40x1120
Item_3458 24x24
Item_6010 12x28
Item_6133 24x24
Gore_14 38x46
Gem_1 40x32
Armor_Head_76 40x1120
Item_1394 16x32
Player_Hair_199 40x784
Projectile_137 14x20
Projectile_692 34x56
Item_2699 32x32
Item_2177 32x32
Item_1276 24x18
Item_5875 32x22
Glow_289 36x576
Item_1759 22x14
Tiles_178 126x216
Tiles_295 36x576
Gore_1072 12x20
Armor_Legs_150 40x1120
Item_2825 22x32
Item_3128 24x34
Item_3262 30x26
Cloud_1 192x64
NPC_304 48x80
Armor_Legs_129 40x1120
Background_285 1024x768
Item_3771 30x24
Item_5739 36x18
NPC_528 50x558
NPC_585 24x96
Acc_Face_17 40x1120
Item_4440 16x32
NPC_Head_53 28x24
Projectile_248 18x18
Armor_Head_79 40x1120
Item_4003 30x34
Item_444 24x20
NPC_Head_2 30x28
Buff_134 32x32
Item_3913 32x22
Projectile_307 16x36
Item_360 24x38
Waterfall_25 512x124
Player_Hair_78 40x784
Item_504 30x20
Item_688 30x20
Tiles_634 176x264
Glow_92 86x264
Gore_31 20x14
Item_3916 32x24
Projectile_302 2x136
Wall_309 468x180
Buff_71 32x32
Item_1920 28x102
Moon_4 50x400
Projectile_765 50x440
Item_4987 32x30
Item_5040 30x20
Gore_930 28x28
Item_1520 30x20
Tree_Branches_20 84x756
Gore_589 8x14
Item_38 16x22
Acc_HandsOff_7 40x1120
Item_839 20x14
Armor_Legs_124 40x1120
Gore_1024 10x8
Acc_Front_13 40x1120
Buff_109 32x32
Item_1173 32x32
Glow_144 50x792
Item_3873 22x18
Glow_18 40x1120
Gore_912 384x112
Item_498 18x32
Item_5560 16x32
Item_5700 12x28
Gore_1369 32x28
Gore_1218 12x48
Item_769 24x24
Item_2646 10x32
Extra_169 94x1376
Item_5155 30x36
Gore_569 12x12
Item_3596 46x32
NPC_238 60x248
Acc_Shoes_2 40x1120
Buff_285 32x32
Chain30 16x24
Item_3941 18x32
Item_4129 28x28
NPC_247 50x40
Item_138 24x24
Item_3797 30x24
Item_5505 30x24
NPC_433 88x476
Player_HairAlt_157 40x784
Gore_1201 12x56
Gore_459 20x12
Item_3900 16x32
Player_Hair_61 40x784
Projectile_447 42x48
Wall_210 468x180
Gore_59 20x14
Gore_520 92x74
Item_731 30x20
Gore_1326 18x14
Projectile_1022 42x704
Wings_38 86x248
Item_3326 32x32
Item_5957 24x32
Item_768 24x24
Item_483 56x58
Armor_Legs_108 40x1120
Projectile_1016 16x16
Projectile_1047 95x380
Tiles_245 1152x54
NPC_110 60x1200
Gore_5 22x20
Buff_60 32x32
Item_2612 32x28
NPC_272 46x870
Buff_168 32x32
Gore_1236 16x24
NPC_59 32x52
Gore_842 26x26
Player_3_13 360x224
Player_Hair_95 40x784
Tiles_694 704x72
Background_179 1024x699
Armor_Head_91 40x1118
Item_4670 32x32
Item_4519 24x24
Mount_Minecart 50x102
Extra_72 800x36
Projectile_1068 56x56
Tiles_308 54x432
Silver 40x1120
Tiles_347 288x270
Tiles_80 126x216
Item_1987 20x16
Item_2475 34x34
Armor_Legs_128 40x1120
Item_2091 10x28
Item_4213 12x20
Item_5666 32x32
Item_4438 22x32
Gore_915 384x112
Projectile_31 14x14
Item_4077 32x20
Item_2004 22x22
Armor_Legs_170 40x1120
Item_2040 16x32
Item_5397 24x24
Tiles_603 108x1188
Buff_245 32x32
Background_200 160x96
Gore_207 22x16
Gore_1019 18x12
Item_3269 40x34
Item_4373 26x22
Acc_Back_18 40x1120
Gore_623 26x22
NPC_112 16x16
Projectile_228 30x160
Buff_244 32x32
Item_3721 28x34
NPC_111 56x1176
Projectile_596 20x120
Item_3263 26x20
Item_5440 16x16
NPC_538 50x192
Gore_72 42x20
Extra_254 90x780
Item_2034 16x32
Item_2493 24x22
Item_3221 28x24
Item_4215 28x32
Item_4274 26x14
Item_1393 16x32
Item_4495 24x24
Item_3603 16x16
Background_198 160x96
Extra_282 144x28
Item_4830 30x20
Item_5288 34x30
Gore_1172 46x58
Item_3920 32x22
Item_2529 30x24
Item_4845 24x20
Item_5737 32x30
Item_1067 16x24
Item_1201 58x28
Item_1599 32x18
Item_5977 24x32
Item_965 10x32
Item_139 16x16
Item_4158 30x22
Player_HairAlt_100 40x784
Player_Hair_163 40x784
Projectile_164 20x20
Item_4263 32x32
Tiles_397 288x270
Gore_962 28x50
Item_5963 16x28
Item_4921 32x42
Gore_900 30x28
Player_HairAlt_219 40x784
Item_1471 38x24
Item_3534 16x24
Glow_221 74x462
Gore_181 28x24
Buff_213 32x32
ItemFlame_428 14x16
Item_3586 30x20
Item_4658 50x34
Item_5489 50x34
Item_6000 24x32
Background_8 1024x435
Item_2301 34x34
Item_5881 24x32
Item_631 24x14
Armor_Head_285 40x1118
NPC_369 40x1334
NPC_653 24x72
Item_2776 36x36
Player_HairAlt_104 40x784
Item_1837 32x42
Item_3614 16x16
Projectile_1082 32x32
Item_4456 34x22
Item_5122 50x34
Player_HairAlt_174 40x784
Item_6126 32x32
Projectile_857 1350x84
Item_4687 12x28
Glow_370 56x1088
Armor_Head_253 40x1120
Extra_157 195x1221
Item_2614 32x28
Item_2640 30x24
Item_3555 16x24
Armor_Legs_149 40x1120
Item_3088 24x24
Item_4817 22x28
Projectile_731 18x80
Gore_945 26x22
Glow_173 22x60
Item_3398 12x28
Item_911 24x22
NPC_325 248x1880
Tiles_21 2000x114
Item_2557 16x34
Tiles_39 288x270
Projectile_367 58x62
Gore_1234 16x24
Tiles_132 144x36
Wall_173 468x180
Glow_94 288x270
Wall_354 468x360
Player_HairAlt_137 40x784
NPC_380 60x696
Item_1627 12x28
Gore_1311 20x22
Tiles_145 288x270
Item_3352 34x34
Buff_386 32x32
Acc_Balloon_15 52x224
Extra_1 32x220
Extra_87 28x12
Gore_573 76x90
Item_4278 16x16
Item_5312 26x28
Item_1350 14x14
Item_4287 24x78
Item_4177 12x28
Chain16 8x8
Extra_75 20x42
Item_1484 32x32
NPC_626 20x132
Projectile_101 16x16
Acc_Balloon_13 52x224
Item_3477 26x26
Buff_340 32x32
Item_2810 34x16
Extra_80 20x128
Item_3252 28x48
Extra_178 512x2
Gore_731 30x30
Item_2966 12x28
Item_338 12x28
Item_4360 24x32
Item_3892 14x32
Item_4468 34x22
Item_1176 32x32
NPC_431 88x476
Player_10_2 40x1120
Background_129 160x48
Item_2847 28x30
Item_4388 14x16
Item_2249 32x28
Item_4952 26x40
Projectile_285 2x40
Item_460 24x34
Item_3428 12x28
Item_1109 32x36
Item_1997 26x26
Projectile_724 22x24
Item_5587 34x32
Tiles_462 34x18
Gore_7 20x24
Item_591 16x16
Armor_Head_25 40x1118
Buff_199 32x32
Chain12 16x28
Armor_Legs_167 40x1120
Extra_66 12x12
Gore_1050 22x28
Item_3856 22x28
Item_5280 26x20
Player_Hair_100 40x784
Armor_Legs_91 40x1120
Item_1177 32x32
Item_4943 46x48
Item_5068 30x28
Buff_157 32x32
Inventory_Back2 52x52
Item_5704 26x28
Projectile_889 34x418
Item_4400 22x22
Item_5575 26x32
Tiles_717 288x270
Wall_126 468x180
Item_3206 34x34
Wall_76 468x180
Item_1779 26x18
Item_6104 32x34
Item_4563 16x16
Buff_96 32x32
Item_79 22x18
Player_4_10 40x1120
Projectile_310 8x20
Tiles_399 288x270
Player_Hair_167 40x784
Tiles_48 234x90
Item_2251 32x18
Wall_314 468x180
Tiles_204 288x270
Item_2147 16x32
Item_4270 26x36
Item_2317 34x34
Armor_Head_162 40x1120
Gore_1205 12x8
Buff_233 32x32
Item_1900 34x28
Item_2445 32x30
Gore_421 10x10
Item_3631 24x12
Item_4866 16x36
Gore_978 28x28
Item_324 30x22
Item_54 34x28
Wall_320 468x180
Gore_94 42x44
Item_2224 30x22
Gore_1015 24x26
Gore_1401 44x76
Item_5296 36x38
Item_2700 32x32
Item_1968 22x20
Item_2941 12x28
Armor_Head_258 40x1118
Item_3759 22x18
Projectile_957 168x1296
Item_4590 30x22
Tiles_211 288x270
Clothes_2 30x30
Chain18 12x12
Item_5486 50x34
Hue 178x16
Item_5414 24x24
Item_187 30x30
Gore_811 36x26
Item_3874 32x26
NPC_290 66x816
Item_3197 34x34
NPC_64 56x322
Item_4409 28x24
Armor_Head_135 40x1120
Item_3304 28x28
Projectile_218 110x110
Projectile_629 16x16
Tiles_168 288x270
Item_3205 34x34
LiquidSlope_3 72x16
Item_1657 12x28
Item_3098 68x26
Item_975 30x24
Item_4059 32x32
Buff_253 32x32
Item_1191 30x24
Item_3993 34x30
Projectile_548 16x16
Cloud_15 210x82
Item_2139 34x22
Projectile_86 54x136
Item_1069 16x24
Item_6088 16x16
Tiles_750 288x270
Wall_110 468x180
Gore_970 22x22
Item_1206 30x26
Gore_749 18x18
Item_4393 34x34
Item_5719 26x30
Item_2397 38x24
Item_2821 34x24
Item_4088 14x34
Item_732 22x18
Item_876 22x18
MapBG9 115x65
PumpkingFace 102x1368
Eye_Laser 110x1200
Projectile_816 60x714
Wall_128 468x180
Acc_Shield_2 42x1120
ItemFlame_974 14x16
Item_2036 14x34
Buff_318 32x32
Item_3297 28x28
Item_4620 18x102
Item_1886 24x24
Item_1743 20x20
Item_5856 32x18
Projectile_921 20x20
